1.531761427235734351e-02,4.028519184892338512e-01,-5.720246026875813738e-01,-7.024554462926063669e-01,-1.402035887460755248e-01,1.082987350618718619e-01,-3.937464060290601919e-01,4.089043665551950757e-01,-7.668425788806453314e-01,-1.340690069589382527e-01,0.000000000000000000e+00
2.593609135449478215e-02,4.048096077195898479e-01,-5.668698557811243655e-01,-7.139209655551901346e-01,-1.405973674387500649e-01,1.253373987473006823e-01,-4.052105692093808109e-01,4.045572090826116129e-01,-7.887745576563657268e-01,-1.403432465275682439e-01,0.000000000000000000e+00
2.607993835331650148e-02,4.049027304667167093e-01,-5.673160339443706901e-01,-7.152088067333701726e-01,-1.406662980007577779e-01,1.268287247145936658e-01,-4.073927403489663868e-01,4.044764064689341798e-01,-7.916004845902110398e-01,-1.416793439009758626e-01,0.000000000000000000e+00
2.625011697293106600e-02,4.050814817488164188e-01,-5.677683518607000712e-01,-7.163293855617781647e-01,-1.400076809398156930e-01,1.270180310442489136e-01,-4.074555350029337442e-01,4.044075684218426670e-01,-7.917863322159930384e-01,-1.433014900629158428e-01,0.000000000000000000e+00
2.638562195108260303e-02,4.053221172954580842e-01,-5.675826025287883381e-01,-7.176030579949058685e-01,-1.389816195456409775e-01,1.269477085086488932e-01,-4.071750625208261365e-01,4.042952789517061385e-01,-7.912661365906771271e-01,-1.449905221714702652e-01,0.000000000000000000e+00
2.626584294483960691e-02,4.050438308717860258e-01,-5.665910035339279949e-01,-7.178090405771646587e-01,-1.376471248171781403e-01,1.267433830258830607e-01,-4.070075808718830457e-01,4.041347791354382157e-01,-7.906774589812317622e-01,-1.460536315821326370e-01,0.000000000000000000e+00
2.609262628244100185e-02,4.046428380531522095e-01,-5.655491885285746090e-01,-7.189620414321549191e-01,-1.362779744507890134e-01,1.264825915902582643e-01,-4.071187277465598275e-01,4.039377823170539616e-01,-7.894414820111508302e-01,-1.465099699584831439e-01,0.000000000000000000e+00
2.580440354945299011e-02,4.042339408570784776e-01,-5.653837655478982649e-01,-7.181211047034452566e-01,-1.357766780795428563e-01,1.263869369800123266e-01,-4.071587499528770970e-01,4.042351036758203287e-01,-7.887036617931811877e-01,-1.462053641409732374e-01,0.000000000000000000e+00
2.515120435544369870e-02,4.039876628308079476e-01,-5.655407092422876092e-01,-7.174075208406699433e-01,-1.361145374335759328e-01,1.262663553151224249e-01,-4.071177685789650336e-01,4.042638647450733091e-01,-7.883732585656821890e-01,-1.461350168083658252e-01,0.000000000000000000e+00
2.398582253530064795e-02,4.038601643358475379e-01,-5.669138579542245537e-01,-7.158870485290801389e-01,-1.369109785271848678e-01,1.261861775845460332e-01,-4.072242642626819897e-01,4.046588697938881540e-01,-7.877232131118431235e-01,-1.461914453010176862e-01,0.000000000000000000e+00
2.338169437201739753e-02,4.039737179187642413e-01,-5.684711600146590271e-01,-7.155095369654445037e-01,-1.376159161170242562e-01,1.260471994827465081e-01,-4.074549609433464892e-01,4.056727736028870046e-01,-7.866456909549477405e-01,-1.457909999164835047e-01,0.000000000000000000e+00
2.272730392176495334e-02,4.042876040970604934e-01,-5.701777314251544881e-01,-7.152131838376973860e-01,-1.387005661991265182e-01,1.257758562706742800e-01,-4.075063457389286325e-01,4.067072372475623032e-01,-7.854569604670450511e-01,-1.452356316426644256e-01,0.000000000000000000e+00
2.222853792884654095e-02,4.046204823964380526e-01,-5.705056304928457500e-01,-7.155205230677447181e-01,-1.388143890258194402e-01,1.252893488329684391e-01,-4.074750765824405874e-01,4.071372327366352128e-01,-7.845505943736311716e-01,-1.452315470046841583e-01,0.000000000000000000e+00
